Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Rank,URL
E.Griffen,DE,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,
J.Elliott,K,PHI,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,25,
J.Tucker,K,BAL,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,26,
B.Roethlisberger,QB,PIT,741,-4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,watch?v=6m3foyqVwBo
P.Rivers,QB,LAC,760,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,watch?v=vitRQSP_qlo
R.Bullock,K,CIN,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,26,
A.Rosas,K,NYG,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,28,
C.Parkey,K,MIA,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,28,
J.McCown,QB,NYJ,602,38,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,watch?v=lPcdH9H6_LI
L.Fournette,RB,JAX,0,199,66,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,watch?v=7MKKnCz8OSc
C.Hyde,RB,SF,0,253,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,watch?v=t0EDlKApWZw
Z.Gonzalez,K,CLE,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,30,
T.Montgomery,WR,GB,0,124,129,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,watch?v=B5hVRADAf-U
D.Cook,RB,MIN,0,288,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,watch?v=mtaN0bYDjaw
C.Barth,K,CHI,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,32,
C.Sturgis,K,PHI,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,32,
Y.Koo,K,LAC,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,32,
A.Brown,WR,PIT,0,0,354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,watch?v=RSA4TfXpXaA
M.Gordon,RB,LAC,0,146,90,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,watch?v=5fIIBV66y2Y
J.Brissett,QB,IND,526,36,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,watch?v=F2KpDeJxVac
C.Newton,QB,CAR,566,46,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,watch?v=WpXAc2r8_WE
C.Anderson,RB,DEN,0,235,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,watch?v=HNPBfURUEgI
T.Hill,WR,KC,0,24,253,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,watch?v=PZXugPN-4TA
Jo.Howard,RB,CHI,0,197,40,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,watch?v=iejVxd0i6hg
M.Gillislee,RB,NE,0,145,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,watch?v=tj_TiHTRV_8
B.Cooks,WR,NE,0,6,256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,watch?v=AKDc2HNPHO8
B.Hoyer,QB,SF,624,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,watch?v=WzqlaS09bso
R.Gronkowski,TE,NE,0,0,238,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,watch?v=hctqIH1LpkU
M.Crabtree,WR,OAK,0,0,170,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,watch?v=CRAjD3zNB60
C.Hogan,WR,NE,0,17,154,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,watch?v=_HZOl85juGA
M.Glennon,QB,CHI,615,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,watch?v=7hK8tCsYRq4
C.Keenum,QB,MIN,536,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,watch?v=saicQ2JyUvA
J.Winston,QB,TB,532,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,watch?v=FyFb5vsDlrk
T.Flowers,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
C.Marsh,DE,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
D.Ford,OLB,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
B.Skrine,DB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
B.Callahan,CB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
G.Atkins,DT,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
T.Bowser,DEF,BAL,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50,
A.Chickillo,LB,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
W.Mercilus,OLB,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
C.Covington,DT,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
K.Jackson,CB,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
M.Gilchrist,FS,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
B.Orakpo,OLB,TEN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
K.Joseph,SAF,OAK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,50,
P.Smith,LB,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,
