Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Punting_i20,Punting_Yards
A.Washington,DT,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Williams,DT,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J.Hughes,DE,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
J.Poyer,FS,BUF,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
J.McCown,QB,NYJ,1374,56,0,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,NYJ,0,116,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Powell,RB,NYJ,0,240,72,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.Tye,,NYJ,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Kearse,WR,NYJ,0,0,299,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Stewart,WR,NYJ,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Tomlinson,TE,NYJ,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Anderson,WR,NYJ,0,0,296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Raymond,WR,NYJ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C.Catanzaro,K,NYJ,0,0,0,0,0,0,11,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Edwards,P,NYJ,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1417
D.Davis,ILB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
J.Stanford,ILB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Lee,ILB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
M.Pennel,DE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Jenkins,OLB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Martin,OLB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
S.McLendon,NT,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Skrine,CB,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
M.Maye,FS,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M.Wilkerson,DE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Brooks,DB,NYJ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ja.Adams,SS,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K.Ealy,OLB,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L.Williams,DE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Burris,CB,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C.Pelon,DEF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Donahue,LB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Claiborne,CB,NYJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M.Glennon,QB,CHI,833,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
M.Burton,FB,CHI,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Cohen,RB,CHI,21,226,163,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Jo.Howard,RB,CHI,0,493,59,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K.White,WR,CHI,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Sims,TE,CHI,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z.Miller,TE,CHI,0,0,207,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Bellamy,WR,CHI,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Wright,WR,CHI,0,0,236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Thompson,WR,CHI,0,0,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Robertson-Harris,DE,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Barth,K,CHI,0,0,0,0,0,0,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
P.O'Donnell,P,CHI,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1553
B.Cunningham,RB,CHI,0,30,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Floyd,OLB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
N.Kwiatkoski,ILB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Cooper,CB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Freeman,ILB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.Young,OLB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
S.Acho,OLB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Hicks,DE,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
K.Fuller,CB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Unrein,DE,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Trevathan,ILB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E.Jackson,FS,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Callahan,CB,CHI,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
E.Goldman,NT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q.Demps,SS,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Ryan,QB,ATL,1357,26,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
D.Freeman,RB,ATL,0,353,81,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Coleman,RB,ATL,0,215,157,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Hooper,TE,ATL,0,0,242,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Gabriel,WR,ATL,0,7,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ju.Jones,WR,ATL,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Sanu,WR,ATL,0,4,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Bryant,K,ATL,0,0,0,0,0,0,10,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Bosher,P,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,672
A.Roberts,WR,ATL,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Reed,DE,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
D.Kazee,FS,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T.McKinley,DE,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B.Poole,CB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R.Alford,CB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Campbell,OLB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R.Allen,FS,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Jones,MLB,ATL,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
V.Beasley,OLB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
A.Clayborn,DE,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
K.Neal,SS,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Trufant,CB,ATL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
D.Riley,OLB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Dalton,QB,CIN,1220,36,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
G.Bernard,RB,CIN,0,91,164,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Mixon,RB,CIN,0,187,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Hill,RB,CIN,0,98,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LaFell,WR,CIN,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Green,WR,CIN,0,0,504,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T.Eifert,TE,CIN,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Kroft,TE,CIN,0,0,139,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Boyd,WR,CIN,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Huber,P,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1220
A.Erickson,WR,CIN,0,-4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Billings,NT,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Johnson,DE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
P.Sims,DT,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.Iloka,FS,CIN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K.Minter,MLB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V.Rey,OLB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Kirkpatrick,CB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Smith,DE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
D.Dennard,CB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
G.Atkins,DT,CIN,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
C.Fejedelem,SS,CIN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C.Dunlap,DE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R.Glasgow,DT,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Willis,DE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W.Jackson,CB,CIN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
N.Vigil,OLB,CIN,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
J.Shaw,CB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Flacco,QB,BAL,1003,-3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Campanaro,WR,BAL,0,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D.Woodhead,RB,BAL,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Allen,RB,BAL,0,281,114,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.West,RB,BAL,0,138,23,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N.Boyle,TE,BAL,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Maclin,WR,BAL,0,0,159,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Wallace,WR,BAL,0,4,239,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Williams,TE,BAL,0,2,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B.Perriman,WR,BAL,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Pierce,NT,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J.Tucker,K,BAL,0,0,0,0,0,0,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Koch,P,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1520
E.Weddle,FS,BAL,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
B.Carr,CB,BAL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
M.Judon,OLB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C.Mosley,ILB,BAL,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
T.Jefferson,SS,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
B.Urban,DE,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z.Smith,DE,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T.Bowser,LB,BAL,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
T.Suggs,OLB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,2,4.5,0,0,0,0,0,0,0,0
L.Webb,FS,BAL,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
P.Ricard,FB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Levine Sr.,CB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J.Smith,CB,BAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K.Correa,ILB,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Williams,NT,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Kizer,QB,CLE,851,126,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
I.Crowell,RB,CLE,0,252,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Dayes,RB,CLE,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Coleman,WR,CLE,0,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Louis,WR,CLE,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Britt,WR,CLE,0,0,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Njoku,TE,CLE,0,1,118,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.DeValve,TE,CLE,0,0,167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Johnson,RB,CLE,0,117,269,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Peppers,FS,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z.Gonzalez,K,CLE,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Colquitt,P,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1564
B.Boddy-Calhoun,SS,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Kindred,SS,CLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J.Collins,OLB,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E.Ogbah,DE,CLE,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
J.McCourty,CB,CLE,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
